link,name,model_label,model_conf,heuristic_label,final_label
/wiki/Gi%E1%BA%A3i_Nobel_V%E1%BA%ADt_l%C3%BD,Giải Nobel Vật lý,PER,0.8263865113258362,AWARD,AWARD
/wiki/Gi%E1%BA%A3i_Nobel_H%C3%B3a_h%E1%BB%8Dc,Giải Nobel hóa học,PER,0.9652747511863708,AWARD,AWARD
/wiki/Gi%E1%BA%A3i_Nobel_Sinh_l%C3%BD_h%E1%BB%8Dc_ho%E1%BA%B7c_Y_h%E1%BB%8Dc,Giải Nobel Sinh lý học hoặc Y học,MISC,0.4568023681640625,AWARD,AWARD
/wiki/Gi%E1%BA%A3i_Nobel_V%C4%83n_h%E1%BB%8Dc,Giải Nobel Văn học,PER,0.7632434964179993,AWARD,AWARD
/wiki/Gi%E1%BA%A3i_Nobel_H%C3%B2a_b%C3%ACnh,Giải Nobel Hòa bình,PER,0.9001380801200867,AWARD,AWARD
/wiki/Gi%E1%BA%A3i_Nobel_Kinh_t%E1%BA%BF,Giải Nobel Kinh tế,MISC,0.7162068486213684,AWARD,AWARD
/wiki/Wilhelm_R%C3%B6ntgen,Wilhelm Röntgen,PER,0.8385171890258789,UNKNOWN,PERSON
/wiki/Jacobus_Henricus_van_%27t_Hoff,Jacobus Henricus van 't Hoff,PER,0.9430418610572815,UNKNOWN,PERSON
/wiki/Emil_Adolf_von_Behring,Emil Adolf von Behring,PER,0.9893885850906372,UNKNOWN,PERSON
/wiki/Sully_Prudhomme,Sully Prudhomme,PER,0.9150387644767761,UNKNOWN,PERSON
/wiki/Henry_Dunant,Henry Dunant,PER,0.9995065331459045,UNKNOWN,PERSON
/wiki/Fr%C3%A9d%C3%A9ric_Passy,Frédéric Passy,PER,0.9989539384841919,UNKNOWN,PERSON
/wiki/Hendrik_Lorentz,Hendrik Lorentz,PER,0.9995113611221313,UNKNOWN,PERSON
/wiki/Pieter_Zeeman,Pieter Zeeman,PER,0.9888224601745605,UNKNOWN,PERSON
/wiki/Hermann_Emil_Fischer,Emil Fischer,PER,0.9995608329772949,UNKNOWN,PERSON
/wiki/Ronald_Ross,Ronald Ross,PER,0.9994815587997437,UNKNOWN,PERSON
/wiki/Theodor_Mommsen,Theodor Mommsen,PER,0.9803075790405273,UNKNOWN,PERSON
/wiki/%C3%89lie_Ducommun,Élie Ducommun,PER,0.9990490078926086,UNKNOWN,PERSON
/wiki/Charles_Albert_Gobat,Charles Albert Gobat,PER,0.9977392554283142,UNKNOWN,PERSON
/wiki/Henri_Becquerel,Henri Becquerel,PER,0.987684428691864,UNKNOWN,PERSON
/wiki/Pierre_Curie,Pierre Curie,PER,0.9993487000465393,UNKNOWN,PERSON
/wiki/Marie_Curie,Marie Curie,PER,0.9293150901794434,UNKNOWN,PERSON
/wiki/Svante_Arrhenius,Svante Arrhenius,PER,0.8497878313064575,UNKNOWN,PERSON
/wiki/Niels_Ryberg_Finsen,Niels Ryberg Finsen,PER,0.99958735704422,UNKNOWN,PERSON
/wiki/Bj%C3%B8rnstjerne_Bj%C3%B8rnson,Bjørnstjerne Bjørnson,PER,0.9961565136909485,UNKNOWN,PERSON
/wiki/Randal_Cremer,William Randal Cremer,PER,0.9620122909545898,UNKNOWN,PERSON
"/wiki/John_William_Strutt,_Nam_t%C6%B0%E1%BB%9Bc_Rayleigh_th%E1%BB%A9_3","John William Strutt, Nam tước Rayleigh thứ 3",PER,0.9955024719238281,UNKNOWN,PERSON
/wiki/William_Ramsay,William Ramsay,PER,0.9995951652526855,UNKNOWN,PERSON
/wiki/Ivan_Pavlov,Ivan Petrovich Pavlov,PER,0.99955815076828,UNKNOWN,PERSON
/wiki/Fr%C3%A9d%C3%A9ric_Mistral,Frédéric Mistral,PER,0.9993686079978943,UNKNOWN,PERSON
/wiki/Jos%C3%A9_Echegaray,José Echegaray,PER,0.9975212216377258,UNKNOWN,PERSON
/wiki/Philipp_Lenard,Philipp Lenard,PER,0.9997427463531494,UNKNOWN,PERSON
/wiki/Adolf_von_Baeyer,Adolf von Baeyer,PER,0.9990164637565613,UNKNOWN,PERSON
/wiki/Robert_Koch,Robert Koch,PER,0.9996680021286011,UNKNOWN,PERSON
/wiki/Henryk_Sienkiewicz,Henryk Sienkiewicz,PER,0.9952194094657898,UNKNOWN,PERSON
/wiki/Bertha_von_Suttner,Bertha von Suttner,PER,0.8791748285293579,UNKNOWN,PERSON
/wiki/J._J._Thomson,Joseph John Thomson,PER,0.9976827502250671,UNKNOWN,PERSON
/wiki/Henri_Moissan,Henri Moissan,PER,0.8756122589111328,UNKNOWN,PERSON
/wiki/Santiago_Ram%C3%B3n_y_Cajal,Santiago Ramón y Cajal,PER,0.8971889615058899,UNKNOWN,PERSON
/wiki/Giosu%C3%A8_Carducci,Giosuè Carducci,PER,0.9996707439422607,UNKNOWN,PERSON
